name,place_id,author_name,author_url,language,original_language,profile_photo_url,rating,relative_time_description,text,time,translated
The Foresters Arms,ChIJw-LhKQgQfEgRVo1QvGMvZZU,Michael Lucas,https://www.google.com/maps/contrib/107801266368464280211/reviews,en,en,https://lh3.googleusercontent.com/a-/ACB-R5QyWDoj083wN9-9RjyKJncyYgc3njVijXVnBf4Y=s128-c0x00000000-cc-rp-mo-ba4,5,6 months ago,"Really lovely pub. We had a warm welcome and immediately felt at home.  Rarely have we found a pub with such a relaxed atmosphere.  The food was delicious, our dogs liked it too😊",1667579044,False
The Foresters Arms,ChIJw-LhKQgQfEgRVo1QvGMvZZU,major singh,https://www.google.com/maps/contrib/101899109173809104877/reviews,en,en,https://lh3.googleusercontent.com/a/AGNmyxZDV7ZMFAe79_4TDNoxISRskiqlXSNo55b_Z58=s128-c0x00000000-cc-rp-mo,5,3 weeks ago,"A nice village pub with good food in generous portions, beer is varied and well kept, the black sheep ale is recommended. Hosts are friendly and welcoming and the crowd seemed quite friendly. Lovely location and a lovely little pub to match.",1681632372,False
The Foresters Arms,ChIJw-LhKQgQfEgRVo1QvGMvZZU,Drew Graham,https://www.google.com/maps/contrib/106639219757582060723/reviews,en,en,https://lh3.googleusercontent.com/a-/ACB-R5S5InkcHsB5CmNBHuVaiK6Dy6iJ0jrb_DsUoA5apY8=s128-c0x00000000-cc-rp-mo,5,2 months ago,Terrific food at very reasonable prices with an extensive menu. Best fish & chips I’ve had for ages. Fabulous banter from the staff. Don’t ask questions about the menu or you’ll need trauma therapy 😉,1677595127,False
The Foresters Arms,ChIJw-LhKQgQfEgRVo1QvGMvZZU,Jason Elliott,https://www.google.com/maps/contrib/105605012586755650409/reviews,en,en,https://lh3.googleusercontent.com/a/AGNmyxaq9CkPqWr37KFxcQahh5x0_Q2jloTAa81mgWGy=s128-c0x00000000-cc-rp-mo,5,5 months ago,"Only popped in for one...ended up having two!  Really friendly staff, the lady behind the bar on Friday afternoon was really friendly.  I think it's got new owners, best of luck to them.",1670095214,False
The Foresters Arms,ChIJw-LhKQgQfEgRVo1QvGMvZZU,William Gedye,https://www.google.com/maps/contrib/100539081728225200605/reviews,en,en,https://lh3.googleusercontent.com/a/AGNmyxa6bBzmTXPA_Tm5qOvej7YMuFJmP0PuCbW7JUr5=s128-c0x00000000-cc-rp-mo-ba6,5,2 months ago,"Called in for Sunday lunch. Great traditional roast with all the trimmings, and good price. Well kept Theakstons bitter, choice of Black Sheep and another draught bitter too. Friendly service.",1677252339,False
Johnny Baghdad's Cafe on the Square,ChIJHcbHr0CofkgRigtmPMlGJXo,James Haskell (oldplodder),https://www.google.com/maps/contrib/112277636196993917254/reviews,en,en,https://lh3.googleusercontent.com/a-/ACB-R5Q5hx34YY9Au-BPQDpJY4D0KodN0tfElprPt97nnQ=s128-c0x00000000-cc-rp-mo-ba4,5,a year ago,"No idea what the name has to do with a small North Yorkshire cafe, with internal  decoration from Vietnam and other far east countries. However, this IS A CAFE TO VISIT. Great food & wonderful staff. Plus really friendly customers, in the winter anyway. I had the smoked salmon & dill quiche - delicious. I spoke to the couple on the next table, they were local.& used the cafe all the time. The food looked amazing. Deep joy on the faces of everyone. I can recommend the chocolate & pistachio cake. (Had previously as a gift from the wife)",1644171108,False
Johnny Baghdad's Cafe on the Square,ChIJHcbHr0CofkgRigtmPMlGJXo,Mark Hendry,https://www.google.com/maps/contrib/115387970629413626025/reviews,en,en,https://lh3.googleusercontent.com/a-/ACB-R5T7wcva3chxMmt0-WGkHfZwj1kfgoh08opLiPAiQA=s128-c0x00000000-cc-rp-mo-ba3,5,6 months ago,"Cracking. A brilliant cafe. Great quality, well cooked food. Cyclists welcome. Full English hit the spot. Good coffee also. Gets very busy at peak times and queues outside the front not uncommon, but well worth it once you're sat down 👌",1667770746,False
Johnny Baghdad's Cafe on the Square,ChIJHcbHr0CofkgRigtmPMlGJXo,Alastair Swaffer,https://www.google.com/maps/contrib/118224359792480370805/reviews,en,en,https://lh3.googleusercontent.com/a-/ACB-R5SI-pCjopm04Lgxc8hmoBt2hya_GiWbDkOerzZPBQ=s128-c0x00000000-cc-rp-mo-ba4,5,6 months ago,"Had a lovely late lunch at Johnny Baghdad's. Waitress was super nice and accomodating. We say outside but the inside looked cozy too.  The menu was innovative, interesting and covered many bases (cakes were great too!).  But the most important bit --- food very tasty.",1667513341,False
Johnny Baghdad's Cafe on the Square,ChIJHcbHr0CofkgRigtmPMlGJXo,Rob Wiles,https://www.google.com/maps/contrib/101611936710795731493/reviews,en,en,https://lh3.googleusercontent.com/a-/ACB-R5S5ZrO_hvfZLj-Uczr67wkt9vLUHEcNJkM77CW1=s128-c0x00000000-cc-rp-mo-ba4,5,a year ago,"Johnny Baghdad's Cafe was fabulous. Great vibe and fantastic food choices. Only had coffee and cake today but looking forward to going back for a meal sometime soon. The coffee was very nice, Americano and warm milk.. (I'm not normally a big fan but this was superb. Accompanied by chocolate and Guinness cake. My friend had sticky chocolate orange cake which was equally excellent. Lovely friendly staff. Cant recommend highly enough. 6 stars 🌟",1651866362,False
Johnny Baghdad's Cafe on the Square,ChIJHcbHr0CofkgRigtmPMlGJXo,Ads,https://www.google.com/maps/contrib/105739873613234589328/reviews,en,en,https://lh3.googleusercontent.com/a-/ACB-R5Qse4e8S1vLUSZpp9n2oX-XazEz-0bSbeP1VqWpLQ=s128-c0x00000000-cc-rp-mo-ba8,4,2 months ago,"When in the UK, we were lucky to stumble across this dope little cute café! A great little quaint joint to grab some grub, hot chocolates or coffee after a walk in the country. Support local businesses!",1677172290,False
The Black Bull Middleham,ChIJfb9mSnkbfEgRTPSVja9m3v0,gavin thomas,https://www.google.com/maps/contrib/101690673390940548790/reviews,en,en,https://lh3.googleusercontent.com/a/AGNmyxaftdEw1Yvq9okgzNAQLSqkCM4S3eMAUxxdhUgA=s128-c0x00000000-cc-rp-mo,5,6 months ago,I have just come back from a lovely mid week two night stay at the Black Bull in Middleham. I stayed in room 1 which was very spacious with a large double bed and superb shower. The owners Sam and Harriet plus the rest of the team are all great hosts and you really feel like you are part of the local community staying at the pub. Breakfast is also superb and set me up well for my cycling adventures. MIddleham and the surrounding area really is a beautiful part of the country with plenty to explore right on your doorstep. I will certainly be back again soon.,1666520564,False
The Black Bull Middleham,ChIJfb9mSnkbfEgRTPSVja9m3v0,Paul of the Peak,https://www.google.com/maps/contrib/104612047844465978463/reviews,en,en,https://lh3.googleusercontent.com/a-/ACB-R5T7XLaEwVkxN2rYRKc-yeo-1wvCmcca0R6npttYTMQ=s128-c0x00000000-cc-rp-mo-ba4,5,6 months ago,"Great traditional pub, friendly staff. We had a lovely couple of pints and some fantastic home cooked food. Both of us opted for the Steak and Ale pie which came with triple cooked chips, mushy peas and red wine gravy. Absolutely delicious",1667330409,False
The Black Bull Middleham,ChIJfb9mSnkbfEgRTPSVja9m3v0,Simon Tye,https://www.google.com/maps/contrib/111781466500893728414/reviews,en,en,https://lh3.googleusercontent.com/a/AGNmyxavXjNrDGteSBOBIyWZp21KiXintRTx6_umQA59=s128-c0x00000000-cc-rp-mo,5,7 months ago,"An absolutely lovely place to stay, the room was well decorated and set out, spacious, the bed was very comfortable, nice thick duvet even though the room was nice and warm. The bar has a good selection of lager, cider and Ales, there is also a good selection of spirits, especially the Forged Gin !! We also ate here and the food was fantastic! Good selection of juices and cereals and also the choice of a cooked breakfast, we opted for the full English of course which was amazing. Zero complaints about anything during our stay, the bar staff are all lovely too, and the landlord Sam was always on hand to help if needed. We can’t wait to stay here again in December , Middleham is a lovely little village.",1665335333,False
The Black Bull Middleham,ChIJfb9mSnkbfEgRTPSVja9m3v0,Stu,https://www.google.com/maps/contrib/101288508957993971120/reviews,en,en,https://lh3.googleusercontent.com/a-/ACB-R5QCzvH3iE7vj4AuwQhpYJy-nQbvz7heBxSpV-ybpqE=s128-c0x00000000-cc-rp-mo,4,9 months ago,"Great little pub with great food. Breakfast was plentiful and set us up for the day. Bed was super comfortable and huge! Staff are very friendly and nothing was to much trouble. We only stayed the one night as we were visiting the forbidden corner a couple of miles away. Only negative points (sorry as I forgot to mention it in the morning), we couldn't get the tv to work, no biggy as it was just 1 night and the bathroom wall needs some tlc but the rooms were spotless. Would definatly recommend anyone to stay and a point i have forgotten to mention is the WiFi is very good if you need to catch up on emails. Thanks to the black bull!",1659513650,False
The Black Bull Middleham,ChIJfb9mSnkbfEgRTPSVja9m3v0,Derek Lowdon,https://www.google.com/maps/contrib/113469711122416678136/reviews,en,en,https://lh3.googleusercontent.com/a/AGNmyxbFuEKuXx6iBhfRMRtglL9RvD2k-5liN1_D73V1=s128-c0x00000000-cc-rp-mo-ba4,4,a year ago,Very nice place to have an evening drink outside. We were there mid July 2021 and its the last place in the square to receive the evening sunshine.  A variety of meals and selection of ales. Very reasonable prices too.  We found the staff very pleasant and helpful. Sadly only limited seating outdoors.,1626501214,False
The North End Cafe,ChIJ51XSLH2mfkgRUhIoNNTutdM,Douglas Wilson,https://www.google.com/maps/contrib/113876789181630198855/reviews,en,en,https://lh3.googleusercontent.com/a/AGNmyxYmY_dWZSC55ePE3WxHWScbO4dfZQEJIykzaFJ-=s128-c0x00000000-cc-rp-mo,5,6 months ago,"Four of us dropped in here on our way home from holiday for a breakfast to see us through the journey. We were instantly met and welcomed by the owner(?) /manager(?) and given a table in the window. He very kindly gave us a parking permit to use while we were there, which he later gave us for keeps. A waitress soon took our order of 4 Yorkshire breakfasts and teas and coffees etc. While we waited the cafe quickly filled up, so glad to have got there when we did. Breakfast arrived in about 10 minutes and was very good. All local produce and the eggs were amazing. All in all a great choice for us. I heartily recommend anyone to the North End Cafe. And a big thank you to all the staff!",1665765349,False
The North End Cafe,ChIJ51XSLH2mfkgRUhIoNNTutdM,Luke S,https://www.google.com/maps/contrib/116938629355180333029/reviews,en,en,https://lh3.googleusercontent.com/a/AGNmyxaF0p1b1pRd5wtqJR34ckBZoL5aFC1tuLNGzagq=s128-c0x00000000-cc-rp-mo,5,a month ago,"Visited today as a small family of four, we were met with a warm welcome and Cafe was filled with happy customers and an eclectic mix of furniture which we loved. The food was simple on paper but clearly made with fresh and top quality ingredients, also really nicely presented. All facilities were super clean! If you're in the area, we couldn't recommend The North End Cafe enough...A little Gem.",1679693576,False
The North End Cafe,ChIJ51XSLH2mfkgRUhIoNNTutdM,Duncan Malloch,https://www.google.com/maps/contrib/115613174185206771252/reviews,en,en,https://lh3.googleusercontent.com/a-/ACB-R5TaSSL_V36GEWH7MVEeLoUPPFCWsGaHsfJbCLpL3w=s128-c0x00000000-cc-rp-mo-ba4,5,a month ago,"Breakfast was plentiful using only quality, locally sourced produce. Coffee was good too. Good mix of seating and attentive staff",1680243465,False
The North End Cafe,ChIJ51XSLH2mfkgRUhIoNNTutdM,Speklz,https://www.google.com/maps/contrib/104946716893723564118/reviews,en,en,https://lh3.googleusercontent.com/a-/ACB-R5TKbk7CBCIMjfZ1_Gi5h2LSYRcvgC_uXvF9ok3qkA=s128-c0x00000000-cc-rp-mo-ba4,5,3 months ago,Beautiful food and excellent service! Great options for people with dietary restrictions,1675894081,False
The North End Cafe,ChIJ51XSLH2mfkgRUhIoNNTutdM,Polly Clancy,https://www.google.com/maps/contrib/106060228085315369452/reviews,en,en,https://lh3.googleusercontent.com/a/AGNmyxZigXkQSeEYa5O9xJtmqShXGiG5cH0_tj8KXi9T=s128-c0x00000000-cc-rp-mo,5,7 months ago,"Detoured off the A1M to  try get a decent breakfast.  Very glad we did.  The Yorkshire Terrier breakfast was top class. The home baking also looked delicious. This is a lovely cafe. Friendly staff and delicious food.  If nearby, you must give it a try.",1663147863,False
Studley Tearoom,ChIJgyxCE3-rfkgRdavR_iQcFNU,Clive Wheat,https://www.google.com/maps/contrib/107598975428481740654/reviews,en,en,https://lh3.googleusercontent.com/a/AGNmyxbaVUGFt2_ayb45_-_NoNP7xh1QszxLH7iBKieB=s128-c0x00000000-cc-rp-mo,4,a year ago,"The Tearoom,it goes without saying was exceptionally busy, that's not too hard to work out when you consider hundred of visitors are wandering round this magnificent  attraction having probably walked the equivalent of a ""half marathon""on a sunny day, needless to say it was very good and much appreciated.👍👍",1645909804,False
Studley Tearoom,ChIJgyxCE3-rfkgRdavR_iQcFNU,Ads,https://www.google.com/maps/contrib/105739873613234589328/reviews,en,en,https://lh3.googleusercontent.com/a-/ACB-R5Qse4e8S1vLUSZpp9n2oX-XazEz-0bSbeP1VqWpLQ=s128-c0x00000000-cc-rp-mo-ba8,4,2 months ago,A cute quaint and authentic joint to grab some coffee whilst on a dog walk in the UKs backcountry! Support local businesses!,1677254867,False
Studley Tearoom,ChIJgyxCE3-rfkgRdavR_iQcFNU,Wayne Cobbett,https://www.google.com/maps/contrib/104104939193443214074/reviews,en,en,https://lh3.googleusercontent.com/a/AGNmyxbrd2_Tu9HFTrfc_6xONA7YEojVA5X45ukNpwsr=s128-c0x00000000-cc-rp-mo-ba3,4,2 months ago,"Always a long que and typically a wait for hot drinks but otherwise a nice rest stop, particularly to sit by he lake. Dogs friendly outside seating area but not inside.",1676542934,False
Studley Tearoom,ChIJgyxCE3-rfkgRdavR_iQcFNU,Steve Cinderby,https://www.google.com/maps/contrib/110266983238320048180/reviews,en,en,https://lh3.googleusercontent.com/a-/ACB-R5TRAlgKTAo2RcP5xX_4envpz0t67irZWQZbpxUBgw=s128-c0x00000000-cc-rp-mo-ba4,3,a year ago,Great location. But very standard national trust food selection. So worth a visit bit don't be expected to be wowed by the food choices.,1632066606,False
Studley Tearoom,ChIJgyxCE3-rfkgRdavR_iQcFNU,Russ Douglas,https://www.google.com/maps/contrib/117268531098380316333/reviews,en,en,https://lh3.googleusercontent.com/a-/ACB-R5QdI1tJ-8a2MCNBh_6g3fPxYvIskvgVpnfxveNRCA=s128-c0x00000000-cc-rp-mo-ba5,3,a year ago,"A nice spot to enjoy a brew -or a veggie curry pastie in my case today. 🤤 'Tis a shame due to ongoing Pandemic precautions the usual seating's outdoor only, but it's still a very scenic spot overlooking the adjacent lake. Sorry no snap of the veg curry pastie, but here's one of the cute Jackdaw that I gave a few crust crumbs.",1637522939,False
Taste of India,ChIJf-LBy3ymfkgRVgVWOeugfZQ,Jeppo Jepson,https://www.google.com/maps/contrib/107394445361689743224/reviews,en,en,https://lh3.googleusercontent.com/a-/ACB-R5TTDYUVvR7a2DNnMBZg_IJzXYFWFHyRaPKobNaB=s128-c0x00000000-cc-rp-mo,1,6 months ago,"Reasonable meal with work colleagues...table a bit dark, needed torch on phone to read menu Waiter wouldn't give a receipt saying the card machine receipt was enough and if i wanted to take a picture on my phone I could!!!! card machine receipt didnt event have full address on  In my 40 years of travelling I have never been refused a receipt, ever......VERY POOR",1666123303,False
Taste of India,ChIJf-LBy3ymfkgRVgVWOeugfZQ,John Galantini,https://www.google.com/maps/contrib/100692352191617385179/reviews,en,en,https://lh3.googleusercontent.com/a-/ACB-R5T8K27eTNwAKhkr0LELWgu_QStgXFkoDhONjmgp6Q=s128-c0x00000000-cc-rp-mo-ba4,5,a year ago,"This place came highly recommended by the locals and it didn’t disappoint. We arrived late on a Saturday night and they were able to find a table for us. Everything was great - The poppadoms were fresh and crunchy - the curries were flavoursome. Most importantly the beer was served ice cold! Staff were attentive, friendly and fast! Also, we really liked the unusual decor! The ceiling features a sort of upside down garden - it’s really quite extraordinary and bold. Great original touch!!",1625954612,False
Taste of India,ChIJf-LBy3ymfkgRVgVWOeugfZQ,Lucas Dow,https://www.google.com/maps/contrib/112588877390993469374/reviews,en,en,https://lh3.googleusercontent.com/a-/ACB-R5RNMXRrCyJ7mRvQ7NSsw-rWCWcVq8zWj_sVkYqmDA=s128-c0x00000000-cc-rp-mo-ba4,5,3 years ago,"Amazing indian food! The butter chicken was great! The naan bread was delicious. Overall a great experience, great for sharing with outstanding service and kind staff!  Would recommend!",1564498204,False
Taste of India,ChIJf-LBy3ymfkgRVgVWOeugfZQ,bryn lewis,https://www.google.com/maps/contrib/107506931448690165445/reviews,en,en,https://lh3.googleusercontent.com/a-/ACB-R5SH9oyHPLubIA7wMNvp5igjYhQoWsKn1hme8dqiyA=s128-c0x00000000-cc-rp-mo,5,a year ago,Lovely Family Run restaurant. They cater not only for the beginner pallet that want to build up their spice tolerance they also cater for the season curry veteran. For the more adventurous they even offer a real Bangladeshi option of curries that are full of flavour and spice which are all served with a smile. I look forward to my next experience here.,1651823886,False
Taste of India,ChIJf-LBy3ymfkgRVgVWOeugfZQ,Cindy Eagles,https://www.google.com/maps/contrib/103047062336045929721/reviews,en,en,https://lh3.googleusercontent.com/a/AGNmyxZQ7j5pUSU6yWBecHaWYLY3r9pAcNGfg7LYNw80=s128-c0x00000000-cc-rp-mo,4,12 months ago,"The food was absolutely delicious,  it was only let down a little by the hour long wait we had for the takeaway.  Judging by others we will probably order by phone next time and then go in, as all other takeaway orders seem to have done. Having said that, when we ate the food it was really good and we will definitely be back.",1652271721,False
The Barn,ChIJ2cX20UmqfkgRUtFIpONY6G8,SAF1981,https://www.google.com/maps/contrib/100438047342736100307/reviews,en,en,https://lh3.googleusercontent.com/a-/ACB-R5TlzBR6asuZXliKkXddxaihO-MEzAUiYqR9HgU2eho=s128-c0x00000000-cc-rp-mo,1,4 weeks ago,Poor value. I appreciate the cost of living has gone up and effects every industry and sector in many ways but quality and value still should be a factor that remains in service and that isn't compromised. I ordered a £12.95 steak burger that was a slither of lettuce and eye drop of relish away from the same burger from the kids menu in a dry low quality bread bun. Pictures paint a thousand words. This is a £5 burger at most. Slightly underwhelming for the price,1681197684,False
